,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
290,Esperance,TT,86,10.24,-61.45,70,40,16.11
291,Neya,RU,65.38,58.29,43.89,35,0,8.5
292,Magadan,RU,37.4,59.56,150.8,92,20,4.47
293,Petropavl,KZ,46.75,54.87,69.13,64,0,26.84
294,Constantine,DZ,66.2,36.36,6.61,63,20,9.17
295,Arman,RU,37.4,59.7,150.17,88,48,4.47
296,College,US,54.23,64.86,-147.8,71,40,4.7
297,Bandarbeyla,SO,84.19,9.49,50.81,100,36,15.1
298,Belousovka,KZ,62.6,50.13,82.52,51,75,6.71
299,La Ronge,CA,62.6,55.1,-105.3,51,5,10.29
300,Buriti Alegre,BR,80.77,-18.14,-49.04,38,0,3.69
301,Markova,RU,46.4,52.21,104.21,93,40,4.47
302,Ilulissat,GL,46.4,69.22,-51.1,31,40,12.75
303,Concordia,AR,59.44,-31.4,-58.02,90,0,5.59
304,Itanhaem,BR,74.28,-24.18,-46.79,64,0,6.93
305,Pasighat,IN,69.52,28.06,95.33,93,80,1.9
306,Macklin,CA,77.98,52.34,-109.94,37,0,5.48
307,Vestmannaeyjar,IS,44.6,63.44,-20.27,100,90,23.04
308,Thika,KE,62.6,-1.04,37.08,93,75,3.36
309,Weinan,CN,50,34.5,109.46,81,0,2.24
310,Loreto,PY,73.57,-23.27,-57.32,57,0,8.5
311,Krasnogorskoye,RU,62.68,57.7,52.5,57,0,6.38
312,Nenjiang,CN,37.21,49.17,125.23,91,0,11.63
313,Luderitz,NA,61.15,-26.65,15.16,91,0,10.4
314,Haines Junction,CA,43.33,60.75,-137.51,55,0,2.68
315,San Cristobal,EC,59,-0.39,-78.55,67,75,6.93
316,Farafangana,MG,73.12,-22.82,47.83,100,88,10.18
317,Beringovskiy,RU,30.82,63.05,179.32,97,80,5.93
318,Aykhal,RU,33.61,65.95,111.51,72,76,4.7
319,Lappeenranta,FI,69.8,61.06,28.19,37,0,3.36
320,Tadine,NC,71.68,-21.55,167.88,100,0,12.97
321,Paamiut,GL,34.6,61.99,-49.67,99,24,23.6
322,Nyrob,RU,46.75,60.74,56.73,55,0,7.05
323,Weiser,US,75.2,44.25,-116.97,44,1,4.7
324,Cienfuegos,CU,79.54,22.15,-80.44,74,90,4.7
325,Rio Gallegos,AR,44.6,-51.62,-69.22,52,20,8.05
326,Aksu,KZ,48.2,52.04,76.93,93,90,8.95
327,Kamenka,RU,64.3,53.19,44.05,59,80,8.05
328,Saldanha,PT,75.28,41.42,-6.55,34,56,6.6
329,Fort Frances,CA,71.6,48.61,-93.4,43,1,4.7
330,Kagalnitskaya,RU,70.24,46.88,40.15,69,24,2.68
331,Lubango,AO,66.28,-14.92,13.49,65,0,1.68
332,Hofn,IS,44.5,64.25,-15.21,98,92,26.17
333,Severnoye,RU,56.11,54.09,52.54,68,8,3.02
334,Faya,SA,75.2,18.39,42.45,27,40,7.16
335,Flinders,AU,51.8,-34.58,150.85,81,0,2.24
336,Mgachi,RU,42.52,51.05,142.27,88,8,2.13
337,Miri,NG,80.86,10.31,9.75,75,0,2.68
338,Khandyga,RU,37.84,62.65,135.58,76,24,3.02
339,Natal,BR,87.8,-5.81,-35.21,52,40,20.8
340,Boa Vista,BR,89.6,2.82,-60.67,55,75,17.22
341,Acapulco,MX,89.6,16.86,-99.88,62,5,3.36
342,Hambantota,LK,81.13,6.12,81.12,100,32,12.64
343,Saint-Prosper,CA,72.67,46.21,-70.48,40,36,8.05
344,Santiago del Estero,AR,67.27,-27.8,-64.26,68,8,4.47
345,Umm Lajj,SA,86.26,25.02,37.27,66,0,10.07
346,Bad Sackingen,DE,69.46,47.55,7.95,49,75,8.05
347,Misratah,LY,84.73,32.38,15.09,42,76,19.13
348,Zarubino,RU,50.26,42.65,131.06,93,92,9.51
349,Hailar,CN,35.95,49.2,119.7,95,92,12.75
350,Karlstad,SE,69.8,59.38,13.5,26,0,5.82
351,Kulhudhuffushi,MV,85,6.62,73.07,99,20,11.07
352,Swakopmund,NA,66.2,-22.68,14.53,72,0,6.6
353,Kavieng,PG,83.65,-2.57,150.8,100,80,8.61
354,Peleduy,RU,35.77,59.63,112.75,100,92,2.68
355,Kahului,US,71.6,20.89,-156.47,94,40,13.87
356,Harbour Breton,CA,45.67,47.48,-55.8,83,20,15.66
357,Matay,EG,90.85,28.42,30.79,23,0,6.38
358,Mocuba,MZ,71.05,-16.84,36.99,82,0,4.92
359,Ostrovnoy,RU,49,68.05,39.51,78,56,12.19
360,Covington,US,82.63,35.56,-89.65,69,90,5.82
361,Vicam,MX,82,27.64,-110.3,28,5,9.17
362,Hauterive,FR,68.14,46.09,3.45,63,0,3.36
363,Bratsk,RU,44.6,56.15,101.63,100,75,6.71
364,El Sauzal,AR,62.6,-24.3,-64.96,63,90,5.82
365,Mezhdurechensk,RU,53.5,53.69,88.07,95,92,4.7
366,Nijar,ES,69.8,36.97,-2.21,73,0,3.36
367,Gonen,IL,91.4,33.12,35.65,26,0,1.12
368,Ambovombe,MG,72.04,-25.18,46.09,85,0,8.72
369,Belyy Yar,RU,59,53.6,91.39,67,0,11.18
370,Pisco,PE,68,-13.71,-76.2,77,0,8.05
371,Sigli,ID,77.8,5.38,95.96,97,32,3.36
372,Zapolyarnyy,RU,41,69.43,30.82,86,75,12.75
373,Iguape,BR,72.22,-24.7,-47.56,93,0,5.59
374,Margate,AU,50,-43.03,147.26,71,75,10.29
375,Gat,SN,86.17,14.69,-16.54,33,8,15.21
376,Poronaysk,RU,50.17,49.22,143.1,75,0,4.47
377,Buraydah,SA,96.8,26.33,43.97,23,0,13.87
378,De Aar,ZA,41.26,-30.65,24.01,87,0,3.47
379,Hamilton,CA,59.97,43.26,-79.87,88,90,6.93
380,Kununurra,AU,71.6,-15.77,128.74,30,92,6.93
381,Yulara,AU,51.8,-25.24,130.99,50,48,6.93
382,Quepos,CR,76.12,9.43,-84.16,69,75,10.29
383,Manavalakurichi,IN,84.2,8.13,77.3,83,20,4.7
384,Santo Angelo,BR,60.79,-28.3,-54.26,79,0,6.93
385,Mukhen,RU,56.02,48.19,136.14,46,24,6.15
386,Ventspils,LV,60.8,57.39,21.56,67,0,3.36
387,Sechura,PE,76.9,-5.56,-80.82,79,0,9.4
388,Narsaq,GL,48.2,60.91,-46.05,26,75,11.41
389,Quirinopolis,BR,77.71,-18.45,-50.45,51,0,4.03
390,La Palma,CO,74.2,5.36,-74.39,89,64,2.35
391,Erenhot,CN,47.29,43.65,111.97,31,20,13.76
392,Dillon,US,59,45.22,-112.64,67,40,8.05
393,Samarai,PG,78.79,-10.62,150.67,100,88,10.4
394,Aksarka,RU,32.26,66.56,67.8,87,0,19.13
395,Velikiy Ustyug,RU,67.27,60.76,46.3,36,0,8.16
396,Rudsar,IR,70.77,37.14,50.29,83,75,4.14
397,Emerald,AU,47.83,-23.53,148.16,77,8,8.95
398,Thinadhoo,MV,84.37,0.53,72.93,100,48,5.03
399,Saint-Francois,FR,71.6,46.42,3.91,53,64,6.93
400,Mbini,GQ,84.2,1.58,9.62,83,40,4.7
401,Hervey Bay,AU,61.87,-25.3,152.85,100,0,10.4
402,Marzuq,YE,73.03,14.4,46.47,21,8,4.36
403,Colac,AU,54.13,-38.34,143.59,98,92,4.14
404,Turan,RU,40.45,52.15,93.92,93,76,2.35
405,Sur,OM,85.72,22.57,59.53,79,0,4.47
406,Filingue,NE,96.52,14.35,3.32,39,0,4.7
407,Henderson,US,79.16,36.04,-114.98,18,1,4.7
408,Safford,US,82.4,32.83,-109.71,8,1,17.22
409,Oron,NG,82.57,4.81,8.23,75,20,7.38
410,Jian,IN,81.4,25.65,87.89,89,68,8.16
411,Morehead,US,75.2,38.18,-83.43,73,40,6.38
412,Pochutla,MX,88.23,15.74,-96.47,95,40,8.05
413,Waingapu,ID,76.63,-9.65,120.26,84,20,11.07
414,Necochea,AR,57.28,-38.55,-58.74,79,32,13.98
415,Padang,ID,79.06,-0.92,100.36,100,92,8.72
416,High Level,CA,69.8,58.52,-117.13,43,75,4.7
417,Turukhansk,RU,27.22,65.8,87.96,76,32,6.38
418,Knysna,ZA,55.4,-34.04,23.05,82,20,3.36
419,Gamboma,CG,79.6,-1.87,15.88,81,0,3.13
420,Saltpond,GH,82.21,5.2,-1.06,75,32,7.61
421,Maues,BR,87.52,-3.38,-57.72,70,8,3.58
422,Newport,GB,68.02,51.59,-3,56,0,12.75
423,Dali,CN,63.4,25.6,100.24,88,80,1.9
424,Jumla,NP,33.79,29.28,82.18,80,8,2.68
425,Guerrero Negro,MX,65.65,27.97,-114.04,72,8,11.18
426,Puerto Madryn,AR,56.56,-42.77,-65.04,73,36,15.21
427,Nemuro,JP,48.19,43.32,145.57,88,0,12.97
428,Pimentel,BR,82.3,-3.7,-45.5,81,68,4.7
429,Atikokan,CA,73.75,48.76,-91.62,37,0,3.13
430,Panzhihua,CN,61.69,26.59,101.72,98,92,2.46
431,Makat,KZ,81.22,47.65,53.35,18,0,14.76
432,Marawi,PH,68.35,8,124.29,97,20,2.35
433,Kirksville,US,77.07,40.19,-92.58,69,0,3.69
434,Terrasini,IT,64.98,38.15,13.08,93,40,12.75
435,Saraland,US,83.79,30.82,-88.07,69,1,5.82
436,Valleyview,CA,75.19,55.07,-117.28,36,0,6.6
437,Sitka,US,84.37,37.17,-99.65,64,0,11.97
438,Armidale,AU,30.91,-30.51,151.67,79,0,2.35
439,Cabedelo,BR,84.2,-6.97,-34.84,66,75,17.22
440,Tougan,BF,97.15,13.07,-3.07,45,0,2.13
441,Utete,TZ,77.8,-7.99,38.76,71,0,5.03
442,Abay,KZ,51.8,49.63,72.87,93,90,15.66
443,Kichera,RU,32.35,55.93,110.1,98,92,2.01
444,Touros,BR,84.19,-5.2,-35.46,71,64,16.55
445,Sobolevo,RU,60.43,54.43,31.9,80,76,6.04
446,The Valley,AI,84.27,18.22,-63.06,61,40,18.34
447,Oistins,BB,84.2,13.07,-59.53,70,40,21.92
448,Zuenoula,CI,85,7.43,-6.04,85,8,4.14
449,Evensk,RU,38.11,61.92,159.24,87,44,10.96
450,Sinop,TR,65.2,42.03,35.15,94,24,10.18
451,Mareeba,AU,71.6,-16.99,145.42,64,40,12.75
452,Mangrol,IN,88.33,25.33,76.51,29,32,5.7
453,Shafranovo,RU,56.92,53.97,54.77,63,0,6.38
454,Kandrian,PG,76.63,-6.21,149.55,99,80,2.57
455,Plettenberg Bay,ZA,60.25,-34.05,23.37,100,0,5.59
456,Komsomolskiy,RU,30.73,67.55,63.78,89,80,20.58
457,Mahibadhoo,MV,83.83,3.78,72.97,100,64,12.75
458,Tanete,ID,76.45,-3.94,119.78,95,36,6.71
459,Weligama,LK,79.24,5.97,80.42,100,64,7.49
460,Mariinsk,RU,39.28,56.21,87.75,80,0,3.58
461,Lata,IN,56.83,30.78,78.62,44,44,3.02
462,Braco do Norte,BR,61.96,-28.27,-49.17,84,92,4.14
463,Gumla,IN,79.33,23.04,84.54,50,24,3.36
464,Yerbogachen,RU,37.21,61.28,108.01,100,92,5.14
465,Golden,CA,64.4,51.3,-116.96,42,20,5.82
466,Zastron,ZA,43.87,-30.3,27.08,88,0,4.03
467,Bulgan,MN,49.27,48.81,103.53,44,0,8.72
468,Matias Olimpio,BR,73.84,-3.72,-42.56,100,88,5.48
469,Makakilo City,US,74.79,21.35,-158.09,73,20,3.36
470,Kamaishi,JP,46.39,39.28,141.86,79,0,4.03
471,Pontianak,ID,79.06,-0.02,109.34,100,80,4.92
472,Lima,PE,69.7,-12.06,-77.04,67,0,2.57
473,High Rock,BS,82.4,26.63,-78.28,74,75,5.82
474,Bulawayo,ZW,59.89,-20.16,28.59,64,0,6.15
475,Norman Wells,CA,59,65.28,-126.83,41,75,8.05
476,Oyama,JP,55.4,36.31,139.8,93,75,2.68
477,Joshimath,IN,22,30.57,79.57,100,8,0.45
478,Olinda,EC,89.14,-2.03,-79.75,67,0,4.47
479,Honiara,SB,73.4,-9.43,159.96,100,40,2.24
480,Finnsnes,NO,45.64,69.23,17.98,75,75,13.87
481,Birao,CF,91.03,10.3,22.78,34,8,8.5
482,Pacifica,US,57.67,37.61,-122.49,93,90,8.05
483,Mildura,AU,53.05,-34.18,142.16,91,64,6.71
484,Viedma,AR,58.27,-40.81,-62.99,54,36,12.64
485,Youghal,IE,62.6,51.95,-7.85,55,20,6.93
486,Itaituba,BR,87.8,-4.26,-55.99,70,40,2.68
487,Porto Belo,BR,68.83,-27.15,-48.54,68,0,8.05
488,Walvis Bay,NA,66.2,-22.95,14.51,72,0,6.6
489,Porto Novo,BR,73.4,-23.68,-45.44,46,0,3.36
490,Bud,NO,49.33,62.91,6.91,71,75,9.17
491,Tura,IN,77.08,25.52,90.21,92,56,3.13
492,Geraldton,CA,78.8,49.72,-86.95,19,20,8.05
493,Carauari,BR,88.96,-4.88,-66.9,62,36,3.69
494,Najran,SA,89.6,17.54,44.22,14,40,11.41
495,Mayo,CA,55.4,63.59,-135.9,39,75,3.36
496,Riyadh,SA,95,24.63,46.72,9,0,6.93
497,Manaia,NZ,51.97,-39.55,174.12,100,88,18.57
498,Santa Maria del Oro,MX,79.6,25.95,-105.37,14,0,3.47
499,Kloulklubed,PW,78.71,7.04,134.26,88,90,7.05
500,Campbellton,CA,66.19,48,-66.68,44,8,10.4
501,Vagur,FO,47.65,61.47,-6.81,99,44,13.2
502,Bitkine,TD,88.78,11.98,18.21,37,0,6.38
503,Jiupu,CN,43.06,41.07,122.95,89,0,5.48
504,Susanville,US,68,40.42,-120.65,45,1,4.7
505,Ronne,FR,68.04,48.45,0.83,72,12,5.82
506,Kailua,US,74.7,21.39,-157.74,69,20,13.87
507,Sarh,TD,100.4,9.14,18.39,33,0,5.03
508,Iberia,PE,83.56,-11.41,-69.49,48,0,3.13
509,Nushki,PK,51.61,29.55,66.02,26,0,2.68
510,Aligudarz,IR,50.62,33.4,49.69,93,64,2.01
511,Smithers,CA,55.4,54.78,-127.17,66,75,4.7
512,Bedum,NL,66.76,53.3,6.6,52,80,12.75
513,Culpeper,US,78.58,38.47,-78,69,90,6.93
514,Talnakh,RU,27.58,69.49,88.39,87,88,1.57
515,Kohima,IN,66.82,25.66,94.1,94,32,2.35
516,Ginir,ET,59.89,7.14,40.71,87,8,6.38
517,Kachug,RU,40.72,53.96,105.89,96,88,6.04
518,Hoshiarpur,IN,76.81,31.53,75.9,28,56,6.04
519,Ayagoz,KZ,64.84,47.96,80.43,24,20,11.97
520,Bonoua,CI,86,5.27,-3.6,70,20,10.29
521,Falun,SE,69.8,60.61,15.63,40,0,4.7
522,Christchurch,NZ,42.8,-43.53,172.64,87,0,8.05
523,Ossora,RU,33.25,59.24,163.07,99,92,15.1
524,Onguday,RU,51.25,50.75,86.14,51,0,3.58
525,Salinopolis,BR,83.47,-0.61,-47.36,96,44,10.74
526,Vila Velha,BR,86,-3.71,-38.6,66,20,16.11
527,Vyazma,RU,61.33,55.21,34.3,79,64,5.93
528,Mazagao,BR,80.59,-0.12,-51.29,94,92,2.68
529,Pitimbu,BR,84.2,-7.47,-34.81,66,75,17.22
530,Danilov,RU,68.8,58.19,40.17,40,76,11.97
531,Kushiro,JP,42.34,43.11,144.15,81,0,2.57
532,Havre-Saint-Pierre,CA,42.8,50.23,-63.6,45,75,13.87
533,Ankazoabo,MG,63.04,-22.29,44.51,60,0,2.91
534,Mitu,IR,51.61,36.2,46.09,82,24,2.01
535,Vila do Maio,CV,77,15.13,-23.22,57,20,23.04
536,Sabang,PH,81.4,13.72,123.58,92,76,4.14
537,Upata,VE,78.43,8.02,-62.41,89,48,8.39
538,Masvingo,ZW,57.28,-20.08,30.83,90,0,4.7
539,Vostok,RU,54.58,46.45,135.83,41,80,5.59
540,Nadym,RU,31.72,65.53,72.51,94,88,23.82
541,Keuruu,FI,73.4,62.26,24.71,33,0,2.24
542,Faanui,PF,82.3,-16.48,-151.75,99,8,17.56
543,Bayan,MN,44.95,47.25,107.54,58,0,15.55
544,Atambua,ID,78.07,-9.11,124.89,100,8,13.09
545,Tamandare,BR,87.8,-8.28,-70.75,58,40,4.7
546,Egvekinot,RU,27.58,66.32,-179.17,91,88,2.91
547,Henties Bay,NA,61.87,-22.12,14.28,95,0,5.48
548,Kupang,ID,80.68,-10.16,123.6,89,56,16.78
549,Vila,IT,61.43,45.18,8.4,82,75,1.12
550,Mount Isa,AU,64.4,-20.73,139.49,25,56,12.75
551,Cananeia,BR,70.51,-25.01,-47.93,100,0,4.36
552,Bosaso,SO,83.74,11.28,49.18,100,64,1.57
553,Pincher Creek,CA,66.2,49.49,-113.95,45,24,6.93
554,Baldovinesti,RO,69.8,44.38,24.05,56,0,6.93
555,Green River,US,60.8,41.53,-109.47,51,20,13.87
556,Lethem,GY,81.76,3.38,-59.8,84,76,9.62
557,Naryan-Mar,RU,31.81,67.67,53.09,85,0,6.38
558,Palaia Fokaia,GR,72.77,37.72,23.95,64,0,6.93
559,Wundanyi,KE,68.44,-3.4,38.37,92,80,4.92
560,Gazimurskiy Zavod,RU,34.15,51.55,118.33,80,44,5.7
561,Winslow,GB,69.12,51.94,-0.88,52,1,13.87
562,Qasigiannguit,GL,46.4,68.82,-51.19,31,40,12.75
563,Linfen,CN,44.68,36.09,111.52,67,0,2.35
564,Fare,PF,81.4,-16.7,-151.02,99,0,17.11
565,Meulaboh,ID,79.42,4.14,96.13,100,32,5.37
566,Gornja Radgona,SI,69.85,46.68,15.99,68,40,2.24
567,Bariri,BR,77.08,-22.07,-48.74,36,0,4.7
568,Broome,GB,59.36,52.47,1.45,76,20,10.29
569,Correntina,BR,86.35,-13.34,-44.63,52,12,9.17
570,Waipawa,NZ,49.81,-39.94,176.59,66,8,13.76
571,Wangqing,CN,49.9,43.31,129.76,100,92,3.47
572,Zandvoort,NL,66.07,52.37,4.53,52,20,14.99
573,Mae Sai,MM,75.2,20.44,99.89,100,0,1.57
574,Siva,GR,69.8,35.21,25.04,94,40,3.36
575,Kutoarjo,ID,77.17,-7.72,109.9,98,56,3.58
576,Tilichiki,RU,33.7,60.47,166.1,92,48,6.93
577,Rio Hondo,GT,87.25,15.05,-89.58,45,0,1.68
578,Dunedin,NZ,36.85,-45.87,170.5,87,20,12.75
579,Ust-Kuyga,RU,22.81,70,135.55,80,0,2.68
580,Sola,FI,73.4,62.78,29.36,28,0,5.82
581,Buala,SB,81.85,-8.15,159.59,91,68,8.16
582,Salalah,OM,86,17.01,54.1,74,20,3.36
583,Okhotsk,RU,37.75,59.36,143.24,78,0,5.37
584,Shimoda,JP,66.1,34.7,138.93,100,92,11.52
585,Port Said,EG,100.84,25.34,30.55,9,0,14.54
586,Dingtao,CN,51.88,35.07,115.56,79,0,2.68
